id,name,type_id,province,city,district,x,y,avg_price,score,open_hours
72,福屿海鲜锅边（福屿路店）,1,福建省,福州市,鼓楼区,119.289,26.0823,45,41,06:30-20:00
73,花潮日料（仓山万达店）,1,福建省,福州市,仓山区,119.2734,26.0456,230,47,11:30-22:00
74,筑地日本料理（上街店）,1,福建省,福州市,闽侯县,119.1923,26.0756,165,44,"11:00-14:00,17:00-21:30"
75,一番居酒屋（金山店）,1,福建省,福州市,仓山区,119.2678,26.0523,140,43,17:00-02:00
76,樱之恋日料（闽侯万家广场店）,1,福建省,福州市,闽侯县,119.1523,26.109,190,45,11:00-22:00
77,朝天门火锅（上街大学城店）,1,福建省,福州市,闽侯县,119.1934,26.0778,110,44,10:30-23:00
78,德庄火锅（仓山万达店）,1,福建省,福州市,仓山区,119.2734,26.0456,130,43,10:00-22:30
79,小龙坎火锅（台江万达店）,1,福建省,福州市,台江区,119.3123,26.0567,135,45,11:00-23:00
80,蜀九香火锅（闽侯甘蔗店）,1,福建省,福州市,闽侯县,119.1467,26.1112,120,42,10:30-22:30
81,王品牛排（仓山万达店）,1,福建省,福州市,仓山区,119.2734,26.0456,320,48,11:30-22:00
82,西堤牛排（台江万达店）,1,福建省,福州市,台江区,119.3123,26.0567,195,45,11:00-21:30
83,漫咖啡西餐（金山万科里店）,1,福建省,福州市,仓山区,119.2645,26.0534,85,41,10:00-22:00
84,九田家黑牛烤肉（仓山万达店）,1,福建省,福州市,仓山区,119.2734,26.0456,150,46,11:00-23:00
85,姜虎东白丁烤肉（上街店）,1,福建省,福州市,闽侯县,119.1923,26.0767,170,45,11:30-22:00
86,韩式炭火烤肉（闽侯万家广场店）,1,福建省,福州市,闽侯县,119.1523,26.109,135,43,11:00-22:30
87,大丰收脆鱼（仓山万达店）,1,福建省,福州市,仓山区,119.2734,26.0456,95,44,10:30-21:30
88,粤式茶点（闽侯甘蔗店）,1,福建省,福州市,闽侯县,119.1534,26.1101,78,42,08:00-20:30
89,闽师东北菜（上街大学城店）,1,福建省,福州市,闽侯县,119.1912,26.0745,65,43,10:30-21:30
